PART-NO.,CLASS,DESC,O.H.,BIN,MNS,COST,CUR.VAL
25892481,16227,PANEL,1,W106,29,118.8,118.8
10362755,7006,F-RAIL,1,W117,29,195,195
22736917,7831,MOLDING,1,W120,29,98.76,98.76
19152499,1266,GRILLE KIT,1,W300,29,307.93,307.93
12600462,0724,(S)GUIDE,1,,28,9,9
19301979,16260,(S)REGULATOR,1,,28,91.27,91.27
12580743,0213,(S)SEAL,1,3,28,5.31,5.31
12582699,0886,(S)PLATE,1,8,28,81.82,81.82
1995179,2485,F-(S)SWITCH,1,22,28,21.2,21.2
25140558,2897,F-(S)LEVER,1,29,28,119.73,119.73
88987977,3670,(S)CONNECTOR,1,37,28,12.45,12.45
12589550,3682,(S)SENSOR,1,38,28,56.64,56.64
25798422,4006,(S)KNOB,1,43,28,62.38,62.38
457052,6311,W-(S)BEARING,1,60,28,24.05,24.05
457049,6313,W-(S)BEARING,2,60,28,18.66,37.32
22732403,8015,F-BRACKET,1,66,28,11.41,11.41
9129576,8846,(S)HOSE,1,68,28,32.16,32.16
11518636,8900,F-(S)BOLT,3,69,28,2.39,7.17
20938319,10147,(S)CAP,1,78,28,3.83,3.83
10243967,0206,(S)COVER,1,698,28,30.63,30.63
12555563,1516,(S)INDICATOR,1,709,28,11.81,11.81
19167473,3107,W-(S)MODULE KIT,1,725,28,209.8,209.8
19255661,6233,(S)END KIT,1,774,28,37.69,37.69
15183347,7009,CAP,1,780,28,165.1,165.1
20856488,7345,B-(S)ABSORBER,2,781,28,49.74,99.48
10359322,9768,F-SWITCH,1,818,28,50,50
22711011,10150,(S)MODULE,1,820,28,68.88,68.88
16626761,10527,(S)HANDLE,1,827,28,99.41,99.41
21172099,10707,F-APPLIQUE,1,828,28,16.28,16.28
96585539,11089,MOLDING,1,829,28,8.36,8.36
19259193,14875,BELT KIT,1,837,28,101.58,101.58
19149481,16714,COVER,12,874,28,0.75,9
97354978,3358,(S)CLAMP,2,1042,28,1.08,2.16
12470554,4525,(S)RING,1,1062,28,4.67,4.67
12474069,4535,F-(S)WASHER,2,1062,28,2.38,4.76
11588803,4686,(S)NUT,1,1066,28,6.42,6.42
12472839,5813,CAP,1,1075,28,2.54,2.54
30015781,5813,NUT,1,1077,28,3.62,3.62
10352797,8309,RETAINER,3,1096,28,3.75,11.25
15726450,8977,(S)BOLT,2,1121,28,0.45,0.9
9378180,9278,F-KNOB,2,1124,28,3.76,7.52
22543363,10685,F-(S)GUIDE,9,1137,28,1.43,12.87
15751107,17507,MOLDING,1,MLDG,28,118.8,118.8
19149588,17507,MOLDING,1,MLDG,28,105.08,105.08
25649528,7840,ABSORBER,1,W104,28,75.8,75.8
21990439,7241,(S)SHAFT,1,W106,28,57.82,57.82
9593400,5803,F-WHEEL,1,W119,28,181.37,181.37
22715850,7831,F-BRACKET,1,W120,28,15.35,15.35
88937089,16150,DOOR,1,W123,28,357,357
25625166,3163,DISCONTINUED 11/2013,1,W125,28,58.03,58.03
22712360,7833,DEFLECTOR,1,,27,44.6,44.6
12581914,0207,DISCONTINUED 04/2015,1,2,27,3.58,3.58
12582247,0724,F-(S)GUIDE,1,6,27,4.46,4.46
12556263,1150,(S)SENSOR,1,10,27,35.43,35.43
3951600,1516,(S)TUBE,1,12,27,12.12,12.12
19170843,2239,W-(S)WIRE KIT,1,17,27,52.45,52.45
89017744,2240,(S)WIRE,1,18,27,9.22,9.22
12450036,2447,(S)SWITCH,1,22,27,5.32,5.32
21022272,2530,F-(S)CONNECTOR,1,23,27,25.86,25.86
25924112,2726,BRACKET,1,27,27,6.46,6.46
22712549,3887,(S)SWITCH,1,41,27,5.8,5.8
26042494,4053,(S)SOLENOID,1,44,27,42.65,42.65
24243887,4164,(S)SPRING,2,48,27,4.15,8.3
24222404,4279,F-(S)LEVER,1,50,27,4.89,4.89
12992651,8846,F-(S)ADAPTER,1,68,27,81.75,81.75
11562099,8948,(S)CLAMP,1,70,27,4.12,4.12
22681894,9213,(S)VALVE KIT,1,72,27,78.96,78.96
96951729,10512,F-HANDLE,1,80,27,3.57,3.57
20917599,10777,(S)SWITCH,1,81,27,23.67,23.67
90363750,10777,F-(S)SWITCH,1,81,27,23.87,23.87
20972788,8808,LABEL,2,89,27,7.62,15.24
9431809,8991,(S)BULB,12,245,27,1.33,15.96
12462264,1079,(S)GASKET KIT,1,252,27,41.53,41.53
10132893,5508,F-(S)GASKET,1,260,27,2.56,2.56
24576615,1097,(S)PIPE,1,702,27,20.46,20.46
22714185,1263,PANEL,1,704,27,58.36,58.36
22608916,1270,REINFORCEMENT,1,706,27,30.35,30.35
22625808,1271,BAR,1,706,27,16.89,16.89
15149564,1277,F-SHROUD,1,708,27,34.75,34.75
12657038,1516,(S)INDICATOR,1,709,27,11.81,11.81
88880035,2480,F-HARNESS KIT,1,711,27,108.43,108.43
25932032,2725,HEADLAMP,1,721,27,208.26,208.26
16514476,2726,F-PANEL,1,723,27,43.97,43.97
10445234,3003,F-PIPE,1,724,27,58.8,58.8
15052672,4133,(S)TUBE,1,751,27,52.38,52.38
25820031,5382,(S)ARM,1,761,27,150.84,150.84
19206600,5855,W-(S)BEARING,1,767,27,162.82,162.82
9595473,5858,CAP,1,768,27,27.23,27.23
88980094,8228,F-BRACKET,3,808,27,26.69,80.07
10316927,10185,F-MIRROR,1,821,27,100.17,100.17
22650705,10527,(S)HANDLE,2,827,27,58.8,117.6
15258225,12980,RAIL,1,836,27,29.4,29.4
15828973,16063,(S)ARM,1,838,27,54.71,54.71
15828974,16063,(S)ARM,1,838,27,63.38,63.38
12476249,16320,F-HINGE KIT,3,861,27,118.8,356.4
12477888,16320,HINGE KIT,2,861,27,123.43,246.86
15899812,16682,F-BRACKET,1,874,27,33.29,33.29
88935459,16685,F-HEATER,1,874,27,44.56,44.56
12581911,0207,F-(S)SEAL,1,1002,27,5.2,5.2
12581917,0207,F-(S)SEAL,1,1002,27,3.51,3.51
12606926,0724,F-(S)GUIDE,1,1009,27,4.46,4.46
12582448,1097,(S)SEAL,1,1012,27,7.32,7.32
92092444,2510,(S)RELAY,1,1030,27,15.4,15.4
12586350,3265,F-(S)BOLT,3,1038,27,2.51,7.53
12586351,3275,F-NUT,2,1038,27,2.16,4.32
3794377,3425,F-(S)BUSHING,7,1042,27,1.04,7.28
12479921,3880,(S)RETAINER,1,1051,27,3.77,3.77
11516788,8900,(S)BOLT,8,1105,27,0.55,4.4
11516862,8900,(S)BOLT,51,1106,27,2.95,150.45
15044378,9275,(S)GRILLE,1,1124,27,7.89,7.89
22570333,10240,RETAINER,6,1132,27,0.91,5.46
12498088,1303,DEFLECTOR PKG,1,W106,27,56,56
12376796,3001,TANK,1,W106,27,357,357
15186597,1266,GUARD,1,W116,27,606.95,606.95
89059714,5544,F-TUBE,1,W116,27,733.12,733.12
25798760,7832,MOLDING,1,W300,27,120.46,120.46
88981135,17507,F-MOLDING KIT,1,W317,27,293.76,293.76
25825008,1272,F-BAFFLE,1,,26,18.22,18.22
92145767,9196,F-(S)BRACKET,1,,26,34.33,34.33
95971948,12184,HINGE,1,,26,40.75,40.75
15168799,16570,PANEL,1,,26,154.89,154.89
15769290,1270,CUSHION,1,12,26,13.55,13.55
21060165,2188,(S)HOUSING,1,16,26,58.65,58.65
88964342,2188,(S)CASE,1,16,26,59.91,59.91
19121302,3107,(S)SENSOR KIT,2,30,26,88.26,176.52
1997258,3130,(S)VALVE,1,31,26,31.92,31.92
97378825,3163,(S)PIPE,1,32,26,59.94,59.94
19209821,3670,(S)REFURBISHED MODULE,1,37,26,250.15,250.15
12567254,3682,(S)SENSOR,1,38,26,45.78,45.78
15546656,3890,(S)HEATER,1,41,26,126,126
19179525,3900,B-(S)PUMP,1,42,26,193.28,193.28
24205119,4217,(S)GASKET,3,49,26,5.62,16.86
12338071,4630,(S)COVER,1,52,26,5.44,5.44
15212924,4720,(S)MODULE,1,54,26,321.29,321.29
14012694,5469,(S)SEAL,1,55,26,11.29,11.29
9596830,5858,F-CAP,1,57,26,14.39,14.39
96694040,7836,SUPPORT,1,65,26,7.99,7.99
24506756,9180,(S)PULLEY,1,71,26,31.44,31.44
15853943,9680,F-LENS,1,75,26,2.77,2.77
25788774,12188,F-(S)HOSE,1,83,26,12.36,12.36
25788776,12188,F-(S)NOZZLE,1,83,26,6.21,6.21
15213200,4128,(S)HOSE,1,620,26,19.74,19.74
96835284,1272,DEFLECTOR,1,708,26,4.67,4.67
25785463,1274,BRACKET,1,708,26,37.47,37.47
96813886,2725,F-HOUSING,1,722,26,8.53,8.53
16525518,2726,BRACKET,1,723,26,47.23,47.23
12636974,3342,F-SHIELD,2,737,26,27.05,54.1
22712134,3407,F-DUCT,1,739,26,59.14,59.14
19178786,5002,(S)SHIELD,2,760,26,14.7,29.4
25918338,5002,(S)SHIELD,1,760,26,9.34,9.34
9596526,5858,COVER,1,768,26,40.41,40.41
7470014,6307,W-(S)HUB KIT,1,774,26,115.24,115.24
20794269,7345,W-(S)STRUT KIT,1,781,26,85,85
20794270,7345,W-(S)STRUT KIT,1,781,26,85,85
25772196,8153,SHIELD,1,805,26,14.59,14.59
19116836,9647,DISCONTINUED 03/2014,1,817,26,26.44,26.44
10411068,10163,(S)DEFLECTOR,1,821,26,4.53,4.53
16621071,10783,DISCONTINUED 12/2014,1,830,26,139.22,139.22
95971947,12184,HINGE,1,834,26,40.75,40.75
20938276,12943,POCKET,1,835,26,20.72,20.72
97377575,1762,(S)HOSE,2,880,26,109.61,219.22
94012131,1153,(S)BOLT,14,1013,26,0.9,12.6
