PART-NO.,CLASS,DESC,O.H.,BIN,MNS,COST,CUR.VAL
15270597,16712,(S)SWITCH,1,1173,10,25.2,25.2
15271122,2679,LAMP,1,713,27,104.84,104.84
15284528,10153,(S)PUMP,1,78,10,35.4,35.4
15285497,2726,PANEL,1,W300,11,99.44,99.44
15292404,5382,(S)ARM,1,761,12,43.82,43.82
15295850,4845,(S)HOSE,1,759,9,40.79,40.79
15305887,4054,(S)CONNECTOR,1,44,11,67.11,67.11
15306302,9186,(S)CONNECTOR,2,71,10,15.84,31.68
15306329,2313,(S)CONNECTOR,1,20,9,18.54,18.54
15588469,16190,(S)CHANNEL,1,856,11,34.42,34.42
15592674,16437,BRACKET,1,85,31,27.27,27.27
15642266,16437,CHECK,2,85,31,10.42,20.84
15661460,4515,(S)SEAL,1,51,10,14.93,14.93
15686150,7836,BRACE,1,795,9,20.09,20.09
15686152,7869,BRACKET,1,795,9,25.78,25.78
15714775,2737,ADJUSTER,4,1033,9,3.31,13.24
15715300,3163,(S)HOSE,1,620,9,76.32,76.32
15720781,7875,PAD,1,800,11,19.07,19.07
15722834,9795,(S)VALVE,1,818,10,46.03,46.03
15724741,17507,PLATE,1,87,9,16.42,16.42
15740529,16341,ROD,2,863,15,5.25,10.5
15741109,8075,HANDLE,1,66,9,24.5,24.5
15749265,3022,(S)STRAP,1,724,10,14.38,14.38
15751438,5544,SHAFT,1,W125,11,425.73,425.73
15755595,2485,(S)SWITCH,1,22,11,52.33,52.33
15757371,8080,LATCH,1,803,10,39.59,39.59
15758703,16225,(S)WEATHERSTRIP,1,856,10,40.65,40.65
15775072,5806,(S)KNUCKLE,1,763,9,107.08,107.08
15781553,7800,BRACKET,1,786,10,16.61,16.61
15789782,16068,MIRROR,1,845,15,74.5,74.5
15790502,7831,PAD,1,W322,11,132.75,132.75
15797464,4128,(S)CONNECTOR,3,1055,14,15.38,46.14
15805749,7831,REINFORCEMENT,1,64,10,9.93,9.93
15808717,1272,DEFLECTOR,1,W117,10,90.69,90.69
15809062,1540,(S)HOSE,1,620,14,42.95,42.95
15811562,9786,(S)FILTER,1,76,9,16.35,16.35
15812992,14565,RETAINER,1,1127,9,19.75,19.75
15818637,12116,MOLDING,2,MLDG,10,58.8,117.6
15822411,10203,SUNSHADE,1,825,11,59.7,59.7
15823977,10485,(S)SWITCH,2,1133,16,10.45,20.9
15824780,7831,FASCIA,1,W307,10,138.05,138.05
15827845,12187,(S)STRUT,1,834,11,28.68,28.68
15827946,1540,(S)HOSE,3,621,14,88.56,265.68
15829331,2596,(S)BULB,1,,9,3.06,3.06
15843995,12187,(S)STRUT,1,83,9,19.46,19.46
15844876,16263,(S)MOTOR,1,860,12,75.52,75.52
15846428,3417,BAFFLE,1,740,10,65.96,65.96
15859434,6605,(S)PUMP,1,777,9,177.07,177.07
15861910,8015,(S)STRUT,1,801,10,12.03,12.03
15880803,8141,BRACE,2,804,13,7.7,15.4
